BookID,Title,AuthorID,GenreID,ISBN,PublicationDate,Price,Stock
1,The Shadow of Truth,1,3,978-1-2345-6789-0,2015-03-12,24.99,15
2,Silent Legacy,2,1,978-1-2345-6789-1,2008-07-25,19.99,8
3,The Golden Promise,3,4,978-1-2345-6789-2,2020-11-03,14.99,22
4,Dark Journey,4,5,978-1-2345-6789-3,2012-05-18,29.99,5
5,Bright Kingdom,5,6,978-1-2345-6789-4,2018-09-14,12.99,30
6,Lost Secret,6,3,978-1-2345-6789-5,2005-12-07,17.99,12
7,Hidden Code,7,2,978-1-2345-6789-6,2019-04-22,21.99,18
8,Forgotten Prophecy,8,6,978-1-2345-6789-7,2011-08-09,26.99,7
9,Eternal Game,9,1,978-1-2345-6789-8,2016-01-30,15.99,25
10,Final Lie,10,5,978-1-2345-6789-9,2007-10-11,23.99,9
11,The Shadow Legacy,11,4,978-1-2345-6790-0,2014-06-28,18.99,14
12,Silent Dream,12,1,978-1-2345-6790-1,2021-02-15,13.99,28
13,The Golden Hope,13,7,978-1-2345-6790-2,2009-11-19,27.99,6
14,Dark Truth,14,3,978-1-2345-6790-3,2017-07-04,16.99,20
15,Bright Lie,15,5,978-1-2345-6790-4,2013-03-21,22.99,11
16,Lost Game,16,2,978-1-2345-6790-5,2020-08-12,19.99,16
17,Hidden Secret,17,6,978-1-2345-6790-6,2006-05-29,24.99,8
18,Forgotten Code,18,1,978-1-2345-6790-7,2018-12-06,14.99,32
19,Eternal Prophecy,19,4,978-1-2345-6790-8,2011-04-17,20.99,13
20,Final Kingdom,20,3,978-1-2345-6790-9,2015-09-23,17.99,19
21,The Shadow Game,21,5,978-1-2345-6791-0,2008-01-14,25.99,7
22,Silent Secret,22,2,978-1-2345-6791-1,2019-06-30,21.99,15
23,The Golden Code,23,1,978-1-2345-6791-2,2012-10-25,18.99,22
24,Dark Prophecy,24,6,978-1-2345-6791-3,2016-03-08,23.99,10
25,Bright Kingdom,25,4,978-1-2345-6791-4,2007-07-19,16.99,26
26,Lost Legacy,26,3,978-1-2345-6791-5,2020-11-02,19.99,14
27,Hidden Dream,27,1,978-1-2345-6791-6,2014-04-15,15.99,29
28,Forgotten Hope,28,7,978-1-2345-6791-7,2011-08-28,26.99,5
29,Eternal Truth,29,5,978-1-2345-6791-8,2017-12-11,22.99,12
30,Final Lie,30,2,978-1-2345-6791-9,2009-05-24,20.99,17
31,The Shadow Secret,31,4,978-1-2345-6792-0,2018-02-07,17.99,23
32,Silent Game,32,1,978-1-2345-6792-1,2013-06-20,14.99,31
33,The Golden Code,33,3,978-1-2345-6792-2,2021-09-13,24.99,9
34,Dark Prophecy,34,6,978-1-2345-6792-3,2006-12-26,21.99,16
35,Bright Kingdom,35,2,978-1-2345-6792-4,2015-04-09,18.99,20
36,Lost Legacy,36,4,978-1-2345-6792-5,2010-07-22,16.99,25
37,Hidden Dream,37,1,978-1-2345-6792-6,2019-11-05,13.99,33
38,Forgotten Hope,38,7,978-1-2345-6792-7,2012-03-18,27.99,6
39,Eternal Truth,39,5,978-1-2345-6792-8,2016-08-01,23.99,11
40,Final Lie,40,3,978-1-2345-6792-9,2008-10-14,19.99,18
41,The Shadow Game,41,2,978-1-2345-6793-0,2020-01-27,25.99,8
42,Silent Secret,42,4,978-1-2345-6793-1,2014-05-10,22.99,15
43,The Golden Code,43,1,978-1-2345-6793-2,2011-09-23,17.99,24
44,Dark Prophecy,44,6,978-1-2345-6793-3,2017-12-16,24.99,10
45,Bright Kingdom,45,3,978-1-2345-6793-4,2009-04-29,20.99,17
46,Lost Legacy,46,1,978-1-2345-6793-5,2018-08-12,15.99,28
47,Hidden Dream,47,7,978-1-2345-6793-6,2013-11-25,26.99,7
48,Forgotten Hope,48,5,978-1-2345-6793-7,2021-02-08,22.99,13
49,Eternal Truth,49,2,978-1-2345-6793-8,2007-06-21,21.99,16
50,Final Lie,50,4,978-1-2345-6793-9,2015-10-04,18.99,21
